source_name,category
가맹교육비,⑨ 기타판관비
간선비,⑨ 기타판관비
"간이공사비,판관비",③ 지급/용역수수료
감가상각비,⑥ 감가상각비
"감가상각비,사용권자산",⑥ 감가상각비
"감가상각비,유형자산",⑥ 감가상각비
"감가상각비,투자부동산",⑥ 감가상각비
"감가상각비,판관비",⑥ 감가상각비
감가상각비및무형자산상각비,⑥ 감가상각비
감가상각비및투자부동산상각비,⑥ 감가상각비
감가상각비와무형자산상각비,⑥ 감가상각비
감가상각비와상각비,⑥ 감가상각비
강사료,③ 지급/용역수수료
개발비,⑨ 기타판관비
건물관리비,⑤ 임차/관리비
"건물관리비,판관비",⑤ 임차/관리비
견본비,⑨ 기타판관비
견본품비,⑨ 기타판관비
"견본품비,판관비",⑨ 기타판관비
결손금,이익잉여금
경상개발비,⑨ 기타판관비
"경상개발비,판관비",⑨ 기타판관비
경상관리비,⑤ 임차/관리비
경상연구개발비,⑨ 기타판관비
계약부채,순운전자본-
관리비,⑤ 임차/관리비
관리수수료,③ 지급/용역수수료
광고비,④ 광고선전비
광고선전비,④ 광고선전비
"광고선전비,판관비",④ 광고선전비
광고선전비및판매촉진비,④ 광고선전비
교육운영비,⑨ 기타판관비
교육훈련비,② 복리후생비
"교육훈련비,판관비",② 복리후생비
금융기관장기차입금,순운전자본-
"급식비,판관비",② 복리후생비
급여,① 인건비
"급여,판관비",① 인건비
급여및상여,① 인건비
급여및상여금,① 인건비
급여및퇴직급여,① 인건비
급여와임금,① 인건비
기대신용손실충당금전입,⑨ 기타판관비
기술사용료,③ 지급/용역수수료
"기술연구비,판관비",⑨ 기타판관비
기업업무추진비,⑨ 기타판관비
"기업업무추진비,판관비",⑨ 기타판관비
기타,⑨ 기타판관비
"기타,판관비",⑨ 기타판관비
기타금융부채,순운전자본-
기타금융자산,순운전자본+
기타단기금융부채,순운전자본-
기타단기금융자산,순운전자본+
기타비용,⑨ 기타판관비
기타수수료비용,③ 지급/용역수수료
기타수취채권,순운전자본+
기타영업비용,⑨ 기타판관비
기타운영비,⑨ 기타판관비
기타유동금융부채,순운전자본-
기타유동금융자산,순운전자본+
기타유동지급채무,순운전자본-
기타장기종업원급여,① 인건비
기타지급채무,순운전자본-
기타충당부채전입액,⑨ 기타판관비
기타판매비와관리비,⑨ 기타판관비
단기금융부채,순운전자본-
단기금융상품,순운전자본+
단기금융예치금,순운전자본+
단기금융자산,순운전자본+
단기대여금,순운전자본+
단기매매금융자산,순운전자본+
단기매매증권,순운전자본+
단기매입채무,순운전자본-
단기미지급금,순운전자본-
단기사채,순운전자본-
단기종업원급여비용,① 인건비
단기차입금,순운전자본-
단기차입금및유동성장기부채,순운전자본-
단기차입금및유동성장기차입금,순운전자본-
당기손익-공정가치금융자산,순운전자본+
당기손익-공정가치측정금융자산,순운전자본+
당기손익에포함되는퇴직급여비용,① 인건비
당기순손실,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ)
당기순손익,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ)
당기순이익,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ)
당기연결순이익,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ)
대손상각비,⑨ 기타판관비
"대손상각비,판관비",⑨ 기타판관비
대손충당금,순운전자본+
대외업무활동비,⑨ 기타판관비
대행사수수료,③ 지급/용역수수료
대행수수료,③ 지급/용역수수료
도서문구비,② 복리후생비
도서원가,② 복리후생비
도서인쇄비,② 복리후생비
"도서인쇄비,판관비",② 복리후생비
로열티비용,③ 지급/용역수수료
리스료,⑨ 기타판관비
리스부채,리스부채
리스비유동부채,리스부채
리스유동부채,리스부채
리스자산상각비,⑤ 임차/관리비
매도가능증권,순운전자본+
매입채무,순운전자본-
매입채무및기타유동채무,순운전자본-
매입채무및기타지급채무,순운전자본-
매입채무및기타채무,순운전자본-
매장수수료,⑤ 임차/관리비
매체사수수료,③ 지급/용역수수료
매출,Ⅰ. 매출액
매출액,Ⅰ. 매출액
매출연동비,③ 지급/용역수수료
매출원가,Ⅱ. 매출원가
매출채권,순운전자본+
매출채권대손충당금,순운전자본+
매출채권및계약자산,순운전자본+
매출채권및기타수취채권,순운전자본+
매출채권및기타유동채권,순운전자본+
매출채권및기타채권,순운전자본+
매출채권손상차손,⑨ 기타판관비
매출총이익,Ⅲ. 매출총이익(Ⅰ - Ⅱ)
무형고정자산상각,⑥ 감가상각비
무형고정자산상각비,⑥ 감가상각비
무형자산감가상각비,⑥ 감가상각비
무형자산상각비,⑥ 감가상각비
"무형자산상각비,판관비",⑥ 감가상각비
물류비,⑦ 물류/운반비
물류수수료,⑦ 물류/운반비
미수금,순운전자본+
미수금및기타수취채권,순운전자본+
미지급금,순운전자본-
미지급금및기타지급채무,순운전자본-
미지급법인세,순운전자본-
미지급비용,순운전자본-
미처분이익잉여금,이익잉여금
보관료,⑦ 물류/운반비
보험료,⑨ 기타판관비
"보험료,판관비",⑨ 기타판관비
복구충당부채전입액,⑨ 기타판관비
복구충당부채환입액,⑨ 기타판관비
복구충당전입,⑨ 기타판관비
복리후생비,② 복리후생비
"복리후생비,판관비",② 복리후생비
부가가치세예수금,순운전자본-
부가세예수금,순운전자본-
부채총계,부채총계
비유동리스부채,리스부채
비품비,⑨ 기타판관비
사무비,⑨ 기타판관비
사무용품비,⑨ 기타판관비
사용권자산,사용권자산
사용권자산감가상각비,⑤ 임차/관리비
사용권자산상각비,⑤ 임차/관리비
"사용권자산상각비,판관비",⑤ 임차/관리비
사채,순운전자본-
상각후원가측정금융자산,순운전자본+
상여,① 인건비
"상여,판관비",① 인건비
상여금,① 인건비
상품,재고자산
상품개발비,⑨ 기타판관비
상품구입비용,⑨ 기타판관비
상품매입비등,⑨ 기타판관비
상품매출원가,⑨ 기타판관비
상품원가,⑨ 기타판관비
샘플비,⑨ 기타판관비
서비스이용수수료,③ 지급/용역수수료
선수금,순운전자본-
세금과공과,⑨ 기타판관비
"세금과공과,판관비",⑨ 기타판관비
세금과공과금,⑨ 기타판관비
소모품등매입,⑨ 기타판관비
소모품비,⑨ 기타판관비
"소모품비,판관비",⑨ 기타판관비
수납수수료,③ 지급/용역수수료
수도광열비,⑤ 임차/관리비
"수도광열비,판관비",⑤ 임차/관리비
수선비,⑨ 기타판관비
"수선비,판관비",⑨ 기타판관비
수선유지비,⑨ 기타판관비
수수료,③ 지급/용역수수료
수익,Ⅰ. 매출액
수출경비,⑨ 기타판관비
수출비,③ 지급/용역수수료
수출비용,③ 지급/용역수수료
"수출손실비,판관비",③ 지급/용역수수료
수출입제비용,③ 지급/용역수수료
수출제비용,③ 지급/용역수수료
"수출제비용,판관비",③ 지급/용역수수료
시설사용료,⑨ 기타판관비
"시장개척비,판관비",⑨ 기타판관비
시험연구비,⑨ 기타판관비
업무추진비,⑨ 기타판관비
"업무추진비,판관비",② 복리후생비
여비,② 복리후생비
여비교통비,② 복리후생비
"여비교통비,판관비",② 복리후생비
연결이익잉여금,이익잉여금
연구개발비,⑨ 기타판관비
"연구개발비,판관비",⑨ 기타판관비
연구와개발비용,⑨ 기타판관비
연구인력개발비,⑨ 기타판관비
영업비용,Ⅳ. 판매비와 관리비
영업손실,Ⅴ. 영업손익(Ⅲ - Ⅳ)
영업손익,Ⅴ. 영업손익(Ⅲ - Ⅳ)
영업수익,Ⅰ. 매출액
영업이익,Ⅴ. 영업손익(Ⅲ - Ⅳ)
영업일반관리비,Ⅳ. 판매비와 관리비
영업활동비,⑨ 기타판관비
영업활동으로인한현금흐름,영업활동현금흐름
영업활동현금흐름,영업활동현금흐름
예수금,순운전자본-
외상매입금,순운전자본-
외상매출금,순운전자본+
외주가공비,⑨ 기타판관비
외주비,③ 지급/용역수수료
외주용역비,③ 지급/용역수수료
"외주용역비,판관비",③ 지급/용역수수료
외주인건비,③ 지급/용역수수료
용역비,③ 지급/용역수수료
