name,sector,category,description,include_in_sector,listed
에스씨케이컴퍼니,음식료,커피,스타벅스,1,0
더파운더즈,뷰티,뷰티브랜드,아누아,1,0
비나우,뷰티,뷰티브랜드,노크,1,0
에이피알,뷰티,뷰티브랜드,뷰티 디바이스,1,1
브랜드501,뷰티,뷰티브랜드,닥터멜락신,1,0
구다이글로벌,뷰티,뷰티브랜드,"조선미녀,티르티르,라운드랩",1,0
포컴퍼니,뷰티,뷰티브랜드,,1,0
한국콜마,뷰티,뷰티ODM,,1,1
코스맥스,뷰티,뷰티ODM,,1,1
씨앤씨인터내셔널,뷰티,뷰티ODM,,1,1
달바글로벌,뷰티,뷰티브랜드,,1,1
코스알엑스,뷰티,뷰티브랜드,,1,0
월급쟁이부자들,교육,교육,,1,0
데이원컴퍼니,교육,교육,패스트캠퍼스,1,0
매스프레소,교육,교육,콴다,1,0
클래스101,교육,교육,,1,0
휴넷,교육,교육,,1,0
영원무역홀딩스,패션,패션,,0,1
미스토홀딩스(휠라),패션,패션,,0,1
LF,패션,패션,,0,1
F&F홀딩스,패션,패션,,0,1
한세실업,패션,패션,,1,1
신성통상,패션,패션,,1,1
한섬,패션,패션,,1,1
신세계인터내셔날,패션,패션,,1,1
TP(태평양물산),패션,패션,,1,1
신원,패션,패션,,1,1
더네이쳐홀딩스,패션,패션,,1,1
폰드그룹,패션,패션,,1,1
크리스에프앤씨,패션,패션,,0,1
웰크론,패션,패션,,0,1
젝시믹스,패션,패션,,1,1
대현,패션,패션,,0,1
한세엠케이,패션,패션,,0,1
비비안,패션,패션,,0,1
감성코퍼레이션,패션,패션,,0,1
신영와코루,패션,패션,,0,1
그리티,패션,패션,,0,1
아가방컴퍼니,패션,패션,,0,1
에스제이그룹,패션,패션,,0,1
티비에이치글로벌,패션,패션,,0,1
BYC,패션,패션,,1,1
SG세계물산,패션,패션,,0,1
이랜드월드,패션,패션,,0,0
당근마켓,이커머스,중고,,1,0
우아한형제들,이커머스,배달,,1,0
쿠팡페이,이커머스,결제,,1,0
쿠팡로지스틱스,이커머스,물류,,1,0
쿠팡이츠,이커머스,배달,,1,0
쿠팡풀필먼트,이커머스,물류,,1,0
에이블리,이커머스,패션,,1,0
올리브영,이커머스,뷰티,,1,0
무신사,이커머스,패션,,1,0
지마켓,이커머스,이커머스,,1,0
번개장터,이커머스,중고,,1,0
컬리,이커머스,이커머스,,1,0
위대한상상,이커머스,배달,요기요,1,0
카카오스타일,이커머스,패션,,1,0
버킷플레이스,이커머스,인테리어,오늘의집,1,0
쿠팡,이커머스,이커머스,,1,0
단비교육,교육,교육,,1,0
오누이,교육,교육,,1,0
팀스파르타,교육,교육,,1,0
멋쟁이사자처럼,교육,교육,,1,0
위버스브레인,교육,교육,스피킹맥스,1,0
멀티캠퍼스,교육,교육,,1,1
아이스크림에듀,교육,교육,,1,1
삼양식품,식품,식품,,1,1
CJ제일제당,식품,식품,,1,1
대상,식품,식품,,1,1
동원F&B,식품,식품,,1,1
농심,식품,식품,,1,1
롯데칠성음료,식품,식품,,1,1
오리온,식품,식품,,1,1
오뚜기,식품,식품,,1,1
풀무원,식품,식품,,1,1
롯데웰푸드,식품,식품,,1,1
삼립,식품,식품,,1,1
샘표,식품,식품,,1,1
빙그레,식품,식품,,1,1
넥슨코리아,게임,게임,,1,0
크래프톤,게임,게임,,1,1
넷마블,게임,게임,,1,1
NHN,게임,게임,,1,1
스마일게이트,게임,게임,,1,0
NC,게임,게임,,1,1
더블유게임즈,게임,게임,,1,1
컴투스,게임,게임,,1,1
위메이드,게임,게임,,1,1
카카오게임즈,게임,게임,,1,1
그라비티,게임,게임,,1,1
네오위즈,게임,게임,,1,1
펄어비스,게임,게임,,1,1
데브시스터즈,게임,게임,,1,1
시프트업,게임,게임,,1,1
아이지에이웍스,애드테크,애드테크,,1,0
넛지헬스케어,애드테크,애드테크,,1,0
버즈빌,애드테크,애드테크,,1,0
포커스미디어코리아,애드테크,애드테크,,1,0
데이블,애드테크,애드테크,,1,0
몰로코,애드테크,애드테크,,1,0
에이비일팔공,애드테크,애드테크,,1,0
매드업,애드테크,애드테크,,1,0
스페이스애드,애드테크,애드테크,,1,0
아웃백스테이크,음식료,음식,,1,0
더본코리아,음식료,음식,,1,1
메가커피,음식료,커피,,1,0
맘스터치,음식료,음식,,1,0
이디야,음식료,커피,,1,0
명륜당,음식료,음식,,1,0
도미노피자,음식료,음식,,1,0
공차코리아,음식료,커피,,1,0
커피빈코리아,음식료,커피,,1,0
성심당,음식료,음식,,1,0
동대문엽기떡볶이,음식료,음식,,1,0
컴포즈커피,음식료,커피,,1,0
지에프에프지,음식료,음식,,1,0
테라로사,음식료,커피,,1,0
놀부,음식료,음식,,1,0
피자알볼로,음식료,음식,,1,0
고피자,음식료,음식,,1,0
투썸플레이스,음식료,커피,,1,0
