company,category,item,fiscal_year,amount
BYC,Ⅰ. 매출액,매출액,2024,165208000000
BYC,Ⅰ. 매출액,매출액,2025,163167000000
BYC,Ⅱ. 매출원가,매출원가,2024,94532603464
BYC,Ⅱ. 매출원가,매출원가,2025,87564545469
BYC,Ⅲ. 매출총이익(Ⅰ - Ⅱ),매출총이익,2024,70674965477
BYC,Ⅲ. 매출총이익(Ⅰ - Ⅱ),매출총이익,2025,75602067702
BYC,Ⅳ. 판매비와 관리비,판매비와관리비,2024,46842058564
BYC,Ⅳ. 판매비와 관리비,판매비와관리비,2025,49028509234
BYC,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2024,23832906913
BYC,Ⅴ. 영업손익(Ⅲ - Ⅳ),영업이익,2025,26573558468
BYC,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2024,18404839494
BYC,Ⅷ. 당기순손익(Ⅴ+Ⅵ-Ⅶ),당기순이익,2025,19590575123
BYC,① 인건비,"급여,판관비",2024,21423516530
BYC,① 인건비,"급여,판관비",2025,21945958741
BYC,① 인건비,"퇴직급여,판관비",2024,1691351775
BYC,① 인건비,"퇴직급여,판관비",2025,1822092936
BYC,② 복리후생비,교육훈련비,2024,39792511
BYC,② 복리후생비,교육훈련비,2025,81530037
BYC,② 복리후생비,도서인쇄비,2024,16153305
BYC,② 복리후생비,도서인쇄비,2025,16659910
BYC,② 복리후생비,복리후생비,2024,2560010824
BYC,② 복리후생비,복리후생비,2025,2630216411
BYC,② 복리후생비,여비교통비,2024,711231765
BYC,② 복리후생비,여비교통비,2025,642657001
BYC,③ 지급/용역수수료,지급수수료,2024,4864216514
BYC,③ 지급/용역수수료,지급수수료,2025,5772807867
BYC,③ 지급/용역수수료,판매수수료,2024,2099927592
BYC,③ 지급/용역수수료,판매수수료,2025,1533387835
BYC,④ 광고선전비,광고선전비,2024,1417119727
BYC,④ 광고선전비,광고선전비,2025,1251515146
BYC,⑤ 임차/관리비,수도광열비,2024,1286820966
BYC,⑤ 임차/관리비,수도광열비,2025,1461161245
BYC,⑤ 임차/관리비,"임차료,판관비",2024,31433856
BYC,⑤ 임차/관리비,"임차료,판관비",2025,107760690
BYC,⑤ 임차/관리비,"통신비,판관비",2024,370676566
BYC,⑤ 임차/관리비,"통신비,판관비",2025,347687306
BYC,⑥ 감가상각비,"감가상각비,판관비",2024,2587469221
BYC,⑥ 감가상각비,"감가상각비,판관비",2025,3086453132
BYC,⑥ 감가상각비,"무형자산상각비,판관비",2024,209149429
BYC,⑥ 감가상각비,"무형자산상각비,판관비",2025,195169919
BYC,⑦ 물류/운반비,운반비,2024,1389207894
BYC,⑦ 물류/운반비,운반비,2025,1577239318
BYC,⑦ 물류/운반비,포장비,2024,319601997
BYC,⑦ 물류/운반비,포장비,2025,369181023
BYC,⑨ 기타판관비,견본품비,2024,160807739
BYC,⑨ 기타판관비,견본품비,2025,99719741
BYC,⑨ 기타판관비,기타판매비와관리비,2024,279758923
BYC,⑨ 기타판관비,기타판매비와관리비,2025,176296776
BYC,⑨ 기타판관비,대손상각비,2024,0
BYC,⑨ 기타판관비,대손상각비,2025,60171583
BYC,⑨ 기타판관비,"보험료,판관비",2024,260677184
BYC,⑨ 기타판관비,"보험료,판관비",2025,323847007
BYC,⑨ 기타판관비,사무용품비,2024,153057334
BYC,⑨ 기타판관비,사무용품비,2025,159178006
BYC,⑨ 기타판관비,세금과공과,2024,3497629666
BYC,⑨ 기타판관비,세금과공과,2025,3527762580
BYC,⑨ 기타판관비,소모품비,2024,1119240093
BYC,⑨ 기타판관비,소모품비,2025,615465976
BYC,⑨ 기타판관비,수선비,2024,95192714
BYC,⑨ 기타판관비,수선비,2025,56174952
BYC,⑨ 기타판관비,접대비,2024,73075777
BYC,⑨ 기타판관비,접대비,2025,79468000
BYC,⑨ 기타판관비,차량유지비,2024,172097424
BYC,⑨ 기타판관비,차량유지비,2025,207566268
BYC,⑨ 기타판관비,하자보수비,2024,-1058157
BYC,⑨ 기타판관비,하자보수비,2025,865459402
BYC,⑨ 기타판관비,회의비,2024,13899395
BYC,⑨ 기타판관비,회의비,2025,15920426
BYC,부채총계,부채총계,2024,146993000000
BYC,부채총계,부채총계,2025,213296000000
BYC,순운전자본+,단기금융상품,2024,31100000000
BYC,순운전자본+,단기금융상품,2025,100000000000
BYC,순운전자본+,당기손익-공정가치측정금융자산,2024,26145502600
BYC,순운전자본+,당기손익-공정가치측정금융자산,2025,23397617600
BYC,순운전자본+,매출채권및기타채권,2024,5487160194
BYC,순운전자본+,매출채권및기타채권,2025,5754065728
BYC,순운전자본+,현금및현금성자산,2024,20966809806
BYC,순운전자본+,현금및현금성자산,2025,16590273221
BYC,순운전자본-,단기차입금,2024,5793409027
BYC,순운전자본-,단기차입금,2025,36377395072
BYC,순운전자본-,매입채무및기타채무,2024,16248825751
BYC,순운전자본-,매입채무및기타채무,2025,12157998720
BYC,순운전자본-,유동성장기부채,2024,0
BYC,순운전자본-,유동성장기부채,2025,20000000000
BYC,영업활동현금흐름,영업활동현금흐름,2024,28220086500
BYC,영업활동현금흐름,영업활동현금흐름,2025,34233859773
BYC,이익잉여금,이익잉여금,2024,538377000000
BYC,이익잉여금,이익잉여금,2025,556213000000
BYC,자본총계,자본총계,2024,549408000000
BYC,자본총계,자본총계,2025,562493000000
BYC,자산총계,자산총계,2024,696401000000
BYC,자산총계,자산총계,2025,775789000000
BYC,재고자산,유동재고자산,2024,39543573388
BYC,재고자산,유동재고자산,2025,35875333507
BYC,재무활동현금흐름,재무활동현금흐름,2024,-8617198114
BYC,재무활동현금흐름,재무활동현금흐름,2025,60899797584
BYC,투자활동현금흐름,투자활동현금흐름,2024,-8525450585
BYC,투자활동현금흐름,투자활동현금흐름,2025,-99357574811
BYC,현금의 증감,현금및현금성자산의순증가,2024,11133190418
BYC,현금의 증감,현금및현금성자산의순증가,2025,-4376536585
CJ제일제당,Ⅰ. 매출액,수익,2024,27239700000000
CJ제일제당,Ⅰ. 매출액,수익,2025,27342600000000
CJ제일제당,Ⅱ. 매출원가,매출원가,2024,21085200000000
CJ제일제당,Ⅱ. 매출원가,매출원가,2025,21434600000000
CJ제일제당,Ⅲ. 매출총이익(Ⅰ - Ⅱ),매출총이익,2024,6154590000000
